@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
7.0,5.0,3.0,1
4.0,5.0,2.0,1
18.0,21.0,8.0,1
10.0,14.0,6.0,1
51.0,60.0,19.0,1
7.0,0.0,0.0,1
26.0,3.0,6.0,1
28.0,41.0,18.0,1
41.0,11.0,7.0,1
29.0,33.0,5.0,1
28.0,14.0,4.0,1
12.0,7.0,9.0,1
40.0,26.0,22.0,1
7.0,4.0,2.0,1
3.0,12.0,18.0,1
42.0,27.0,10.0,1
30.0,21.0,10.0,1
49.0,41.0,8.0,1
3.0,10.0,2.0,1
31.0,53.0,20.0,1
7.0,2.0,2.0,1
11.0,2.0,3.0,1
23.0,22.0,16.0,1
20.0,43.0,31.0,1
16.0,5.0,21.0,1
29.0,8.0,3.0,1
28.0,20.0,20.0,1
154.0,154.0,98.0,1
2.0,9.0,1.0,1
7.0,4.0,2.0,1
17.0,2.0,9.0,1
52.0,151.0,30.0,1
44.0,13.0,6.0,1
23.0,31.0,41.0,1
11.0,26.0,11.0,1
13.0,2.0,2.0,1
23.0,36.0,29.0,1
27.0,11.0,2.0,1
13.0,16.0,6.0,1
43.0,122.0,58.0,1
73.0,88.0,55.0,1
7.0,4.0,3.0,1
31.0,55.0,12.0,1
54.0,76.0,27.0,1
43.0,30.0,70.0,1
4.0,3.0,0.0,1
85.0,163.0,47.0,1
43.0,27.0,10.0,1
73.0,38.0,34.0,1
90.0,107.0,59.0,1
21.0,2.0,2.0,1
18.0,43.0,4.0,1
