@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
8.0,21.0,10.0,1
12.0,17.0,9.0,1
19.0,2.0,20.0,1
4.0,8.0,1.0,1
7.0,9.0,1.0,1
16.0,18.0,19.0,1
16.0,61.0,23.0,1
58.0,60.0,34.0,1
9.0,25.0,6.0,1
26.0,37.0,14.0,1
40.0,6.0,10.0,1
120.0,52.0,56.0,1
3.0,26.0,3.0,1
10.0,35.0,1.0,1
13.0,4.0,4.0,1
4.0,8.0,6.0,1
38.0,60.0,6.0,1
84.0,28.0,14.0,1
8.0,38.0,14.0,1
29.0,31.0,10.0,1
6.0,9.0,4.0,1
4.0,8.0,0.0,1
14.0,7.0,6.0,1
4.0,25.0,4.0,1
27.0,50.0,34.0,1
12.0,5.0,0.0,1
15.0,15.0,5.0,1
85.0,82.0,93.0,1
54.0,25.0,19.0,1
58.0,37.0,32.0,1
54.0,17.0,36.0,1
12.0,10.0,30.0,1
55.0,8.0,11.0,1
81.0,30.0,44.0,1
7.0,37.0,20.0,1
2.0,20.0,0.0,1
8.0,26.0,10.0,1
35.0,54.0,18.0,1
13.0,12.0,1.0,1
13.0,44.0,6.0,1
4.0,1.0,7.0,1
13.0,14.0,5.0,1
12.0,28.0,7.0,1
96.0,115.0,26.0,1
14.0,34.0,5.0,1
37.0,28.0,19.0,1
3.0,17.0,6.0,1
1.0,0.0,7.0,1
46.0,44.0,57.0,1
16.0,24.0,7.0,1
13.0,32.0,20.0,1
8.0,8.0,3.0,1
17.0,12.0,13.0,1
44.0,57.0,33.0,1
7.0,11.0,2.0,1
53.0,51.0,31.0,1
52.0,32.0,20.0,1
31.0,12.0,8.0,1
14.0,45.0,37.0,1
11.0,6.0,12.0,1
14.0,28.0,4.0,1
6.0,54.0,3.0,1
83.0,26.0,38.0,1
26.0,49.0,20.0,1
2.0,9.0,2.0,1
61.0,71.0,33.0,1
21.0,43.0,20.0,1
8.0,28.0,12.0,1
3.0,9.0,0.0,1
59.0,20.0,28.0,1
4.0,16.0,8.0,1
32.0,30.0,6.0,1
3.0,8.0,0.0,1
4.0,7.0,2.0,1
48.0,19.0,65.0,1
2.0,8.0,4.0,1
7.0,3.0,0.0,1
278.0,98.0,148.0,1
59.0,52.0,19.0,1
7.0,17.0,11.0,1
30.0,4.0,26.0,1
101.0,37.0,58.0,1
7.0,4.0,4.0,1
55.0,31.0,35.0,1
2.0,12.0,0.0,1
15.0,20.0,24.0,1
27.0,42.0,12.0,1
24.0,13.0,7.0,1
77.0,25.0,13.0,1
51.0,26.0,32.0,1
8.0,19.0,3.0,1
4.0,7.0,2.0,1
1.0,14.0,2.0,1
0.0,3.0,4.0,1
23.0,16.0,16.0,1
61.0,70.0,25.0,1
27.0,25.0,14.0,1
13.0,6.0,3.0,1
14.0,31.0,11.0,1
46.0,16.0,16.0,1
13.0,16.0,4.0,1
139.0,129.0,146.0,1
51.0,18.0,17.0,1
2.0,24.0,4.0,1
11.0,7.0,3.0,1
5.0,6.0,0.0,1
30.0,33.0,9.0,1
53.0,74.0,53.0,1
21.0,23.0,28.0,1
68.0,33.0,48.0,1
116.0,89.0,73.0,1
72.0,48.0,53.0,1
5.0,2.0,0.0,1
107.0,35.0,22.0,1
38.0,38.0,35.0,1
14.0,18.0,13.0,1
21.0,10.0,22.0,1
32.0,39.0,17.0,1
68.0,58.0,63.0,1
25.0,19.0,12.0,1
9.0,8.0,4.0,1
36.0,14.0,2.0,1
4.0,6.0,2.0,1
50.0,36.0,30.0,1
26.0,15.0,12.0,1
8.0,8.0,28.0,1
0.0,2.0,2.0,1
3.0,21.0,1.0,1
19.0,35.0,7.0,1
13.0,68.0,22.0,1
14.0,18.0,14.0,1
2.0,10.0,1.0,1
28.0,10.0,9.0,1
13.0,19.0,10.0,1
11.0,7.0,1.0,1
39.0,15.0,4.0,1
17.0,28.0,19.0,1
36.0,26.0,40.0,1
42.0,63.0,81.0,1
17.0,24.0,10.0,1
255.0,95.0,230.0,1
16.0,13.0,6.0,1
15.0,67.0,16.0,1
4.0,1.0,2.0,1
11.0,12.0,8.0,1
56.0,73.0,62.0,1
12.0,22.0,18.0,1
2.0,14.0,0.0,1
39.0,18.0,6.0,1
25.0,60.0,26.0,1
2.0,8.0,1.0,1
15.0,23.0,8.0,1
33.0,40.0,25.0,1
62.0,63.0,42.0,1
56.0,73.0,43.0,1
2.0,18.0,7.0,1
22.0,17.0,26.0,1
3.0,9.0,2.0,1
64.0,73.0,26.0,1
107.0,91.0,58.0,1
1.0,11.0,1.0,1
57.0,33.0,76.0,1
4.0,5.0,0.0,1
5.0,24.0,8.0,1
21.0,48.0,13.0,1
17.0,15.0,2.0,1
40.0,2.0,7.0,1
8.0,10.0,26.0,1
6.0,32.0,11.0,1
3.0,7.0,14.0,1
69.0,81.0,55.0,1
12.0,30.0,25.0,1
29.0,12.0,7.0,1
2.0,3.0,2.0,1
11.0,43.0,21.0,1
13.0,28.0,17.0,1
105.0,116.0,121.0,1
26.0,29.0,12.0,1
59.0,58.0,11.0,1
12.0,5.0,4.0,1
8.0,4.0,3.0,1
108.0,78.0,65.0,1
48.0,14.0,8.0,1
16.0,9.0,9.0,1
243.0,45.0,77.0,1
63.0,33.0,50.0,1
24.0,14.0,15.0,1
66.0,25.0,14.0,1
6.0,0.0,21.0,1
